State,City,Tourist_Spot,Category,Located_In_Area,Latitude,Longitude
Karnataka,Hampi,Vittala Temple,Heritage,Hampi Ruins,15.3385,76.4746
Karnataka,Coorg,Abbey Falls,Nature/Waterfall,Madikeri,12.4614,75.7174
Karnataka,Coorg,Raja's Seat,Nature/Scenic,Stuart Hill,12.418,75.7335
Karnataka,Gokarna,Om Beach,Nature/Beach,Gokarna,14.5195,74.3168
Karnataka,Badami,Badami Cave Temples,Heritage/Caves,Badami Town,15.9189,75.6811
West Bengal,Kolkata,Victoria Memorial,Heritage/Museum,Maidan,22.5448,88.3426
West Bengal,Kolkata,Howrah Bridge,Monument,Howrah,22.5851,88.3468
West Bengal,Kolkata,Dakshineswar Kali Temple,Spiritual,Dakshineswar,22.6548,88.3575
West Bengal,Darjeeling,Tiger Hill,Nature/Scenic,Senchal Forest,26.9961,88.257
West Bengal,Darjeeling,Darjeeling Himalayan Railway,Heritage,Ghum,27.0089,88.2587
West Bengal,Sundarbans,Sundarbans National Park,Wildlife,Dayapur,21.9497,89.1833
Goa,North Goa,Baga Beach,Nature/Beach,Baga,15.5528,73.7517
Goa,North Goa,Calangute Beach,Nature/Beach,Calangute,15.5483,73.7601
Goa,North Goa,Aguada Fort,Heritage/Fort,Sinquerim,15.4986,73.7663
Goa,North Goa,Anjuna Beach,Nature/Beach,Anjuna,15.575,73.7405
Goa,South Goa,Palolem Beach,Nature/Beach,Palolem,15.0099,74.0232
Goa,South Goa,Colva Beach,Nature/Beach,Colva,15.282,73.9113
Goa,Old Goa,Basilica of Bom Jesus,Spiritual/Heritage,Bainguinim,15.5009,73.9116
Goa,Old Goa,Se Cathedral,Spiritual/Heritage,Velha Goa,15.5034,73.9116
Gujarat,Kevadia,Statue of Unity,Monument,Kevadia Colony,21.838,73.7191
Gujarat,Ahmedabad,Sabarmati Ashram,Heritage,Ashram Road,23.0606,72.58
Gujarat,Ahmedabad,Adalaj Stepwell,Heritage,Adalaj,23.1664,72.5802
Gujarat,Rann of Kutch,White Desert,Nature,Dhordo,23.8322,69.8597
Gujarat,Dwarka,Dwarkadhish Temple,Spiritual,Gomti Ghat,22.2377,68.9674
Gujarat,Somnath,Somnath Temple,Spiritual,Prabhas Patan,20.888,70.4011
Gujarat,Gir,Gir National Park,Wildlife,Sasan Gir,21.1329,70.7933
Himachal Pradesh,Shimla,The Ridge,Cultural/Scenic,Lakkar Bazar,31.1048,77.1744
Himachal Pradesh,Shimla,Mall Road,Cityscape,Mall Road,31.1033,77.1722
Himachal Pradesh,Manali,Rohtang Pass,Nature/Adventure,Rohtang,32.3716,77.2466
Himachal Pradesh,Manali,Solang Valley,Nature/Adventure,Solang,32.3164,77.1568
Himachal Pradesh,Dharamshala,Tsuglagkhang Complex,Spiritual,McLeod Ganj,32.2326,76.3243
Himachal Pradesh,Dharamshala,Dal Lake (Himachal),Nature,McLeod Ganj,32.2471,76.3117
Himachal Pradesh,Dalhousie,Khajjiar,Nature/Scenic,Khajjiar,32.5558,76.0658
Uttarakhand,Rishikesh,Laxman Jhula,Cultural,Tapovan,30.1222,78.3246
Uttarakhand,Rishikesh,Triveni Ghat,Spiritual,Mayakund,30.1062,78.298
Uttarakhand,Haridwar,Har Ki Pauri,Spiritual,Haridwar Town,29.9566,78.17
Uttarakhand,Nainital,Naini Lake,Nature,Tallital,29.3899,79.4542
Uttarakhand,Kedarnath,Kedarnath Temple,Spiritual,Kedarnath,30.7352,79.0669
Uttarakhand,Badrinath,Badrinath Temple,Spiritual,Badrinath,30.7433,79.4938
Uttarakhand,Jim Corbett,Corbett National Park,Wildlife,Ramnagar,29.53,78.7747
Jammu & Kashmir,Srinagar,Dal Lake,Nature/Boating,Boulevard Road,34.113,74.8785
Jammu & Kashmir,Srinagar,Shalimar Bagh,Heritage/Garden,Dal Lake Area,34.1492,74.8732
Jammu & Kashmir,Gulmarg,Gulmarg Gondola,Adventure,Gulmarg,34.0484,74.3805
Ladakh,Leh,Pangong Tso,Nature/Lake,Spangmik,33.7297,78.8984
Ladakh,Leh,Nubra Valley,Nature/Scenic,Diskit,34.5517,77.5629
Ladakh,Leh,Thiksey Monastery,Spiritual,Thiksey,34.0558,77.6675
Ladakh,Leh,Magnetic Hill,Nature,Leh-Kargil Highway,34.1724,77.3323
Madhya Pradesh,Khajuraho,Khajuraho Group of Monuments,Heritage,Sevagram,24.8318,79.9199
Madhya Pradesh,Gwalior,Gwalior Fort,Heritage/Fort,Fort Road,26.2298,78.165
Madhya Pradesh,Sanchi,Sanchi Stupa,Spiritual/Heritage,Sanchi Town,23.4807,77.7397
Madhya Pradesh,Ujjain,Mahakaleshwar Jyotirlinga,Spiritual,Jaisinghpura,23.1827,75.7682
Madhya Pradesh,Bandhavgarh,Bandhavgarh National Park,Wildlife,Tala,23.7225,81.0264
Punjab,Amritsar,Golden Temple,Spiritual,Atta Mandi,31.62,74.8765
Punjab,Amritsar,Jallianwala Bagh,Monument,Town Hall,31.6205,74.8801
Punjab,Amritsar,Wagah Border,Cultural,Attari,31.605,74.57
Chandigarh,Chandigarh,Rock Garden,Nature/Art,Sector 1,30.7525,76.8101
Chandigarh,Chandigarh,Sukhna Lake,Nature,Sector 1,30.7421,76.8188
Odisha,Puri,Jagannath Temple,Spiritual,Grand Road,19.8049,85.8179
Odisha,Puri,Puri Beach,Nature/Beach,Marine Drive Road,19.7983,85.8249
Odisha,Konark,Konark Sun Temple,Heritage,Konark,19.8876,86.0945
Odisha,Bhubaneswar,Lingaraja Temple,Spiritual,Old Town,20.2382,85.8338
Odisha,Chilika,Chilika Lake,Nature/Lake,Satapada,19.7289,85.3183
Telangana,Hyderabad,Charminar,Heritage,Old City,17.3616,78.4747
Telangana,Hyderabad,Golconda Fort,Heritage/Fort,Ibrahim Bagh,17.3833,78.4011
Telangana,Hyderabad,Salar Jung Museum,Museum,Darulshifa,17.3714,78.4804
Telangana,Hyderabad,Ramoji Film City,Entertainment,Anaspur Village,17.2543,78.6808
Telangana,Hyderabad,Hussain Sagar Lake,Nature,Tank Bund,17.4239,78.4738
Assam,Kaziranga,Kaziranga National Park,Wildlife,Kohora Range,26.5775,93.1711
Assam,Guwahati,Kamakhya Temple,Spiritual,Nilachal Hill,26.167,91.7051
Meghalaya,Shillong,Elephant Falls,Nature/Waterfall,Upper Shillong,25.5357,91.8219
Meghalaya,Cherrapunji,Nohkalikai Falls,Nature/Waterfall,Cherrapunji,25.2755,91.6865
Sikkim,Gangtok,Nathu La Pass,Nature/Adventure,Indo-China Border,27.3866,88.831
Sikkim,Gangtok,MG Marg,Cityscape,Main Market,27.3314,88.6138
Bihar,Bodh Gaya,Mahabodhi Temple,Spiritual,Bodh Gaya,24.6959,84.9914
Bihar,Nalanda,Nalanda University Ruins,Heritage,Nalanda,25.1368,85.4439
Jharkhand,Deoghar,Baidyanath Jyotirlinga,Spiritual,Shivganga,24.4925,86.6999
